Ransom.Win32.CONTI.SMYXBLD_1,911c16d41f49198482aa4d75054cb0e10b07d68c,SHA1,high,high,AV,Custom IOC
Ransom.Win32.CONTI.SMYXBLD_2,3a81355ccfd6d3846fa435b5893ea5cd18e6c9fa,SHA1,high,high,AV,Custom IOC
Ransom.Win32.CONTI.SMYXBLD_3,a803a4b305415b66f22ed29d08017c286b8cb9ef,SHA1,high,high,AV,Custom IOC
Ransom.Win32.CONTI.SMYXBLD_4,b9505c86dd3ae120c0be1201e51af44de4266b36,SHA1,high,high,AV,Custom IOC
Ransom.Win32.CONTI.SMYXBLD_5,655269c264f7b044d8f406cd980fc00c3b8e21ca,SHA1,high,high,AV,Custom IOC
Ransom.Win32.CONTI.SMYXBLD_6,38cd341de09c7d393adf93596b691e7237d0a2e7,SHA1,high,high,AV,Custom IOC
Ransom.Win32.CONTI.SMYXBLD_7,6c7b35e36830c1cc613fb08280ee25e5fbba9937,SHA1,high,high,AV,Custom IOC
Ransom.Win32.CONTI.SMYXBLD_8,5bf5551cee1635709598c90836733550727245ba,SHA1,high,high,AV,Custom IOC
Ransom.Win32.CONTI.SMYXBLD_9,5f27447dcc66c1c4152e23decb47f82c32883080,SHA1,high,high,AV,Custom IOC
Trojan.W97M.TEMPLINJECTOR.ZGJB_1,cbc7f2afe334bc160b741dde2e857ff26e01925744b9f0668a826aa4a1437ab8,SHA256,high,high,AV,Custom IOC
Trojan.W97M.TEMPLINJECTOR.ZGJB_2,a82cb2076b7274179d5f7246f8db274eda47a89392875b3c700f2fa15d70ab2e,SHA256,high,high,AV,Custom IOC
Trojan.W97M.TEMPLINJECTOR.ZGJB_3,839170c51d75bd1dc77f17b957846ace0caa19a83de837277d7294a47e5023b3,SHA256,high,high,AV,Custom IOC
Trojan.W97M.TEMPLINJECTOR.ZGJB_4,bdb4f98bf2bed83b09278bcf7b85771688fb1292612d6c82ad0eb8d7e3256fa1,SHA256,high,high,AV,Custom IOC
Trojan.W97M.TEMPLINJECTOR.ZGJB_5,6f21dde5cf5394eebf779451d45494dfeb22c2eebbb4af1aa3f779724dadf8af,SHA256,high,high,AV,Custom IOC
Trojan.W97M.TEMPLINJECTOR.ZGJB_6,aa07ab7dba1aeb41c57bcdcbca54cefb85afb6f8927d33bf88aef5c19878ba92,SHA256,high,high,AV,Custom IOC
Trojan.W97M.TEMPLINJECTOR.ZGJB_7,3590dd881d094b020fe4b93bb6894e768b878ebcda7f03589da6671db2c652e5,SHA256,high,high,AV,Custom IOC
Trojan.W97M.TEMPLINJECTOR.ZGJB_8,420960a10e3f3730ab124bfefceedc032ef06c7b38fa014b2b59462365a5f08d,SHA256,high,high,AV,Custom IOC
Trojan.W97M.TEMPLINJECTOR.ZGJB_9,081b548f9e06488d367497b02de972394b0da10b473a245bdf0c026e6406b86b,SHA256,high,high,AV,Custom IOC
Trojan.Win32.KILLDISK.SMYECBW_1,61b25d11392172e587d8da3045812a66c3385451 ,SHA1,high,high,AV,Custom IOC
Trojan.Win32.KILLDISK.SMYECBW_2,912342f1c840a42f6b74132f8a7c4ffe7d40fb77 ,SHA1,high,high,AV,Custom IOC
Trojan.Win32.KILLDISK.SMYECBW_3,9518e4ae0862ae871cf9fb634b50b07c66a2c379 ,SHA1,high,high,AV,Custom IOC
Trojan.Win32.KILLDISK.SMYECBW_4,d9a3596af0463797df4ff25b7999184946e3bfa2 ,SHA1,high,high,AV,Custom IOC
Trojan.Win32.KILLDISK.SMYECBW_5,0d8cc992f279ec45e8b8dfd05a700ff1f0437f29 ,SHA1,high,high,AV,Custom IOC
Trojan.Win32.WHISPERGATE.YXCAQ_URL_1,deep-pondering.gortomalo.ru,URL,high,high,AV,Custom IOC
Trojan.Win32.WHISPERGATE.YXCAQ_URL_2,http://185.46.10.45/wordpress.html,URL,high,high,AV,Custom IOC
Trojan.Win32.WHISPERGATE.YXCAQ_URL_3,http://185.46.10.45/counter.html,URL,high,high,AV,Custom IOC
Trojan.Win32.WHISPERGATE.YXCAQ_URL_4,deep-six.gortomalo.ru,URL,high,high,AV,Custom IOC
Trojan.Win32.WHISPERGATE.YXCAQ_URL_5,http://185.46.10.45/set.lgo/deerfood3,URL,high,high,AV,Custom IOC
Trojan.Win32.WHISPERGATE.YXCAQ_URL_6,http://185.46.10.45/currently/credit/m4v,URL,high,high,AV,Custom IOC
Trojan.Win32.WHISPERGATE.YXCAQ_URL_7,http://185.46.10.45/set.lgo/deerfood223,URL,high,high,AV,Custom IOC
Trojan.Win32.WHISPERGATE.YXCAQ_URL_8,http://5.252.178.184,URL,high,high,AV,Custom IOC
Trojan.Win32.WHISPERGATE.YXCAQ_URL_9,5.252.178.184:33163,URL,high,high,AV,Custom IOC
Trojan.Win32.WHISPERGATE.YXCAQ_URL_10,deprive.lotorgas.ru,URL,high,high,AV,Custom IOC
Trojan.Win32.WHISPERGATE.YXCAQ_URL_11,http://5.252.178.188,URL,high,high,AV,Custom IOC
Trojan.Win32.WHISPERGATE.YXCAQ_URL_12,2.59.36.204,URL,high,high,AV,Custom IOC
Trojan.Win32.WHISPERGATE.YXCAQ_URL_13,5.252.178.183,URL,high,high,AV,Custom IOC
Trojan.Win32.WHISPERGATE.YXCAQ_URL_14,archlinuxo.ru,URL,high,high,AV,Custom IOC
Trojan.Win32.WHISPERGATE.YXCAQ_URL_15,centosi.ru,URL,high,high,AV,Custom IOC
Trojan.Win32.WHISPERGATE.YXCAQ_URL_16,cupsman.ru,URL,high,high,AV,Custom IOC
Trojan.Win32.WHISPERGATE.YXCAQ_URL_17,linuxo.ru,URL,high,high,AV,Custom IOC
Trojan.Win32.WHISPERGATE.YXCAQ_URL_18,ubunto.ru,URL,high,high,AV,Custom IOC
Trojan.Win32.WHISPERGATE.YXCAQ_URL_19,freebsdo.ru,URL,high,high,AV,Custom IOC
Trojan.Win32.WHISPERGATE.YXCAQ_URL_20,aaa.archlinuxo.ru,URL,high,high,AV,Custom IOC
Trojan.Win32.WHISPERGATE.YXCAQ_URL_21,aaa.centosi.ru,URL,high,high,AV,Custom IOC
Trojan.Win32.WHISPERGATE.YXCAQ_URL_22,aaa.cupsman.ru,URL,high,high,AV,Custom IOC
Trojan.Win32.WHISPERGATE.YXCAQ_URL_23,aaa.koparas.ru,URL,high,high,AV,Custom IOC
Trojan.Win32.WHISPERGATE.YXCAQ_URL_24,aaa.pitroksa.ru,URL,high,high,AV,Custom IOC
Trojan.Win32.WHISPERGATE.YXCAQ_URL_25,aaa.ubunto.ru,URL,high,high,AV,Custom IOC
Trojan.Win32.WHISPERGATE.YXCAQ_URL_26,end22.kassanfo.ru,URL,high,high,AV,Custom IOC
Trojan.Win32.WHISPERGATE.YXCAQ_URL_27,falcon1.freebsdo.ru,URL,high,high,AV,Custom IOC
Trojan.Win32.WHISPERGATE.YXCAQ_URL_28,falcon21.freebsdo.ru,URL,high,high,AV,Custom IOC
Trojan.Win32.WHISPERGATE.YXCAQ_URL_29,globe55.koparas.ru,URL,high,high,AV,Custom IOC
Trojan.Win32.WHISPERGATE.YXCAQ_URL_30,intercept37.freebsdo.ru,URL,high,high,AV,Custom IOC
Trojan.Win32.WHISPERGATE.YXCAQ_URL_31,pretend23.cupsman.ru,URL,high,high,AV,Custom IOC
Trojan.Win32.WHISPERGATE.YXCAQ_URL_32,shoes34.linuxo.ru,URL,high,high,AV,Custom IOC
Trojan.Win32.WHISPERGATE.YXCAQ_URL_33,stopped100.kilotora.ru,URL,high,high,AV,Custom IOC
Trojan.Win32.WHISPERGATE.YXCAQ_URL_34,ambulance.globe24.koparas.ru,URL,high,high,AV,Custom IOC
Trojan.Win32.WHISPERGATE.YXCAQ_URL_35,ambulance.globe90.koparas.ru,URL,high,high,AV,Custom IOC
Trojan.Win32.WHISPERGATE.YXCAQ_URL_36,configolders4_config4.vivaldar.ru,URL,high,high,AV,Custom IOC
Trojan.Win32.WHISPERGATE.YXCAQ_URL_37,counteract.end22.kassanfo.ru,URL,high,high,AV,Custom IOC
Trojan.Win32.WHISPERGATE.YXCAQ_URL_38,countless.intercept37.freebsdo.ru,URL,high,high,AV,Custom IOC
Trojan.Win32.WHISPERGATE.YXCAQ_URL_39,enforce.shoes34.linuxo.ru,URL,high,high,AV,Custom IOC
Trojan.Win32.WHISPERGATE.YXCAQ_URL_40,naturally.stopped100.kilotora.ru,URL,high,high,AV,Custom IOC
Trojan.Win32.WHISPERGATE.YXCAQ_URL_41,necessity.amateur100.pitroksa.ru,URL,high,high,AV,Custom IOC
Trojan.Win32.WHISPERGATE.YXCAQ_URL_42,koparas.ru,URL,high,high,AV,Custom IOC
Trojan.Win32.WHISPERGATE.YXCAQ_URL_43,loralis.rupitroksa.ru,URL,high,high,AV,Custom IOC
Trojan.Win32.WHISPERGATE.YXCAQ_URL_44,aaa.loralis.ruaaa.koparas.ru,URL,high,high,AV,Custom IOC
Trojan.Win32.WHISPERGATE.YXCAQ_URL_45,aaa.pitroksa.ru,URL,high,high,AV,Custom IOC
Trojan.Win32.WHISPERGATE.YXCAQ_URL_46,gloomily67.golitus.ru,URL,high,high,AV,Custom IOC
Trojan.Win32.WHISPERGATE.YXCAQ_URL_47,interference20.holotras.ru,URL,high,high,AV,Custom IOC
Trojan.Win32.WHISPERGATE.YXCAQ_URL_48,2.59.36.194,URL,high,high,AV,Custom IOC
Trojan.X97M.CVE20170199.YXCBP_1,edecec2c413770fa929937c04ecf889e5c58d562c6e08ef0bfcd65ce482d397c,SHA256,high,high,AV,Custom IOC
Trojan.X97M.CVE20170199.YXCBP_2,8831eb86996d4778be526a6fd281c98d624b155940aae463b45dda1c5f979f1c,SHA256,high,high,AV,Custom IOC
Trojan.Win32.WHISPERGATE.YXCAQ,189166d382c73c242ba45889d57980548d4ba37e,SHA1,high,high,AV,Custom IOC
Trojan.MSIL.WHISPERGATE.YXCAQ_1,16525cb2fd86dce842107eb1ba6174b23f188537,SHA1,high,high,AV,Custom IOC
Trojan.MSIL.WHISPERGATE.YXCAQ_2,b2d863fc444b99c479859ad7f012b840f896172e,SHA1,high,high,AV,Custom IOC
Trojan.MSIL.WHISPERGATE.YXCAQ_3,4c5006cee3e3f7147df37cd03775bfd48e572ca5,SHA1,high,high,AV,Custom IOC
Trojan.MSIL.WHISPERGATE.YXCAQ,82d29b52e35e7938e7ee610c04ea9daaf5e08e90,SHA1,high,high,AV,Custom IOC
Trojan.Win32.WHISPERGATE.YXCAX,a67205dc84ec29eb71bb259b19c1a1783865c0fc,SHA1,high,high,AV,Custom IOC
Trojan.MSIL.WHISPERGATE.YXCBU,97aa0b096abc89d403a2176079fb77be990a4011,SHA1,high,high,AV,Custom IOC
Backdoor.Win32.SAINTBOT.A,e8207e8c31a8613112223d126d4f12e7a5f8caf4acaaf40834302ce49f37cc9c,SHA256,high,high,AV,Custom IOC
Trojan.MSIL.SAINTALL.A,75f728fa692347e096386acd19a5da9b02dca372b66918be7171c522d9c6b42d,SHA256,high,high,AV,Custom IOC
TrojanSpy.MSIL.OUTSTEEL.YMCBB,7ee8cfde9e4c718af6783ddd8341d63c4919851ba6418b599b2f3c2ac8d70a32,SHA256,high,high,AV,Custom IOC
TrojanSpy.Win32.OUTSTEEL.YXCBR,320d091b3f8de8688ce3b45cdda64a451ea6c22da1fcea60fe31101eb6f0f6c2,SHA256,high,high,AV,Custom IOC
TrojanSpy.Win32.CLIPBANKER.THCOABB_1,0fbd7abc2755ccc4d853d06ca7ad8562c5c12b40 ,SHA1,high,high,AV,Custom IOC
TrojanSpy.Win32.CLIPBANKER.THCOABB_2,728da6dea7be8c4249c40bb45ead9a4885257d72d130db3caa0e19c108041760,SHA256,high,high,AV,Custom IOC
TrojanSpy.Win32.CLIPBANKER.THCOABB_3,http://179.43.175[.]171/qelh/CL.exe,URL,high,high,AV,Custom IOC
TrojanSpy.Win32.CLIPBANKER.THCOABB_4,http://179.43.175[.]171/qelh/png.hta,URL,high,high,AV,Custom IOC
Trojan.Win32.KILLMBR.YECCA_1,13037b749aa4b1eda538fda26d6ac41c8f7b1d02d83f47b0d187dd645154e033,SHA256,high,high,AV,Custom IOC
Trojan.Win32.KILLMBR.YECCA_2,e9b96e9b86fad28d950ca428879168e0894d854f ,SHA1,high,high,AV,Custom IOC
TrojanSpy.Win32.KILLDISK.SMYECBW_1,4aa186b5fdcc8248a9672bf21241f77dd395872ec4876c90af5d27ae565e4cb7,SHA256,high,high,AV,Custom IOC
TrojanSpy.Win32.KILLDISK.SMYECBW_2,06086c1da4590dcc7f1e10a6be3431e1166286a9e7761f2de9de79d7fda9c397,SHA256,high,high,AV,Custom IOC
TrojanSpy.Win32.KILLDISK.YACBX_1,0385eeab00e946a302b24a91dea4187c1210597b8e17cd9e2230450f5ece21da,SHA256,high,high,AV,Custom IOC
TrojanSpy.Win32.KILLDISK.YECBX_1,2c10b2ec0b995b88c27d141d6f7b14d6b8177c52818687e4ff8e6ecf53adf5bf,SHA256,high,high,AV,Custom IOC
TrojanSpy.Win32.KILLDISK.YECBX_2,3c557727953a8f6b4788984464fb77741b821991acbf5e746aebdd02615b1767,SHA256,high,high,AV,Custom IOC
TrojanSpy.Win32.KILLDISK.YECBW,1bc44eef75779e3ca1eefb8ff5a64807dbc942b1e4a2672d77b9f6928d292591,SHA256,high,high,AV,Custom IOC
Ransom.PHP.STORMOUS.YXCCBT,96ba3ba94db07e895090cdaca701a922523649cf6d6801b358c5ff62416be9fa,SHA256,high,high,AV,Custom IOC
HTML.STORMOUS.YXCCBT.note,b7863120606168b3731395d9850bbf25661d05c6e094c032fc486e15daeb5666,SHA256,high,high,AV,Custom IOC
TrojanSpy.MSIL.NEGASTEAL.THCODBB,eb0f180fa8c3b29984312e73007670f5638e291a ,SHA1,high,high,AV,Custom IOC
